k core decomposition for the largest connected component
k =	255	number of nodes: 	6
k =	256	number of nodes: 	6
k =	257	number of nodes: 	6
k =	258	number of nodes: 	6
k =	259	number of nodes: 	6
k =	260	number of nodes: 	6
k =	261	number of nodes: 	6
k =	262	number of nodes: 	6
k =	263	number of nodes: 	6
k =	264	number of nodes: 	6
k =	265	number of nodes: 	6
k =	266	number of nodes: 	5
k =	267	number of nodes: 	5
k =	268	number of nodes: 	5
k =	269	number of nodes: 	5
k =	270	number of nodes: 	5
k =	271	number of nodes: 	5
k =	272	number of nodes: 	5
k =	273	number of nodes: 	5
k =	274	number of nodes: 	5
k =	275	number of nodes: 	5
k =	276	number of nodes: 	5
k =	277	number of nodes: 	5
k =	278	number of nodes: 	5
k =	279	number of nodes: 	5
k =	280	number of nodes: 	5
k =	281	number of nodes: 	5
k =	282	number of nodes: 	5
k =	283	number of nodes: 	5
k =	284	number of nodes: 	5
k =	285	number of nodes: 	5
k =	286	number of nodes: 	5
k =	287	number of nodes: 	4
k =	288	number of nodes: 	4
k =	289	number of nodes: 	4
k =	290	number of nodes: 	4
k =	291	number of nodes: 	4
k =	292	number of nodes: 	4
k =	293	number of nodes: 	4
k =	294	number of nodes: 	4
k =	295	number of nodes: 	3
k =	296	number of nodes: 	3
k =	297	number of nodes: 	3
k =	298	number of nodes: 	3
k =	299	number of nodes: 	3
k =	300	number of nodes: 	3
k =	301	number of nodes: 	3
k =	302	number of nodes: 	3
k =	303	number of nodes: 	3
k =	304	number of nodes: 	3
k =	305	number of nodes: 	3
k =	306	number of nodes: 	3
k =	307	number of nodes: 	3
k =	308	number of nodes: 	3
k =	309	number of nodes: 	3
k =	310	number of nodes: 	3
k =	311	number of nodes: 	3
k =	312	number of nodes: 	3
k =	313	number of nodes: 	3
k =	314	number of nodes: 	3
k =	315	number of nodes: 	3
k =	316	number of nodes: 	3
k =	317	number of nodes: 	3
k =	318	number of nodes: 	3
k =	319	number of nodes: 	3
k =	320	number of nodes: 	3
k =	321	number of nodes: 	3
k =	322	number of nodes: 	3
k =	323	number of nodes: 	3
k =	324	number of nodes: 	3
k =	325	number of nodes: 	3
k =	326	number of nodes: 	3
k =	327	number of nodes: 	3
k =	328	number of nodes: 	3
k =	329	number of nodes: 	3
k =	330	number of nodes: 	3
k =	331	number of nodes: 	3
k =	332	number of nodes: 	3
k =	333	number of nodes: 	3
k =	334	number of nodes: 	3
k =	335	number of nodes: 	3
k =	336	number of nodes: 	3
k =	337	number of nodes: 	3
k =	338	number of nodes: 	2
k =	339	number of nodes: 	2
k =	340	number of nodes: 	2
k =	341	number of nodes: 	2
k =	342	number of nodes: 	2
k =	343	number of nodes: 	2
k =	344	number of nodes: 	2
k =	345	number of nodes: 	2
k =	346	number of nodes: 	2
k =	347	number of nodes: 	2
k =	348	number of nodes: 	2
k =	349	number of nodes: 	2
k =	350	number of nodes: 	2
k =	351	number of nodes: 	2
k =	352	number of nodes: 	2
k =	353	number of nodes: 	2
k =	354	number of nodes: 	2
k =	355	number of nodes: 	2
k =	356	number of nodes: 	2
k =	357	number of nodes: 	2
k =	358	number of nodes: 	2
k =	359	number of nodes: 	2
k =	360	number of nodes: 	2
k =	361	number of nodes: 	2
k =	362	number of nodes: 	2
k =	363	number of nodes: 	1
k =	364	number of nodes: 	1
k =	365	number of nodes: 	1
k =	366	number of nodes: 	1
k =	367	number of nodes: 	1
k =	368	number of nodes: 	1
k =	369	number of nodes: 	1
k =	370	number of nodes: 	1
k =	371	number of nodes: 	1
k =	372	number of nodes: 	1
k =	373	number of nodes: 	1
k =	374	number of nodes: 	1
k =	375	number of nodes: 	1
k =	376	number of nodes: 	1
k =	377	number of nodes: 	1
k =	378	number of nodes: 	1
